Date,Country,Confirmed,Recovered,Deaths,2022 Population,Cases_per_100k
2022-04-16,Denmark,3143644,0,6034,5882261,53442.78
2022-04-16,Andorra,40709,0,153,79824,50998.45
2022-04-16,Iceland,183974,0,110,372899,49336.15
2022-04-16,San Marino,15874,0,114,33660,47159.83
2022-04-16,Slovenia,996832,0,6556,2119844,47023.84
2022-04-16,Netherlands,8194946,0,22780,17564014,46657.59
2022-04-16,Austria,4045809,0,16407,8939617,45257.07
2022-04-16,Israel,4029066,0,10612,9038309,44577.65
2022-04-16,Slovakia,2505968,0,19721,5643453,44404.87
2022-04-16,Georgia,1652929,0,16789,3744385,44144.21
2022-04-16,Latvia,812877,0,5714,1850651,43923.84
2022-04-16,Liechtenstein,16975,0,84,39327,43163.73
2022-04-16,France,27874269,0,145159,64626628,43131.24
2022-04-16,Estonia,567183,0,2511,1326062,42771.98
2022-04-16,Switzerland,3568616,0,13647,8740472,40828.64
2022-04-16,Seychelles,41660,0,164,107118,38891.69
2022-04-16,Bahrain,562759,0,1473,1472233,38224.86
2022-04-16,Lithuania,1048704,0,9011,2750055,38133.93
2022-04-16,Montenegro,234137,0,2709,627082,37337.54
2022-04-16,Cyprus,464366,0,993,1251488,37105.11
2022-04-16,Czech Republic,3881644,0,39980,10493986,36989.22
2022-04-16,Portugal,3719485,0,21993,10270865,36213.94
2022-04-16,Luxembourg,229311,0,1054,647599,35409.41
2022-04-16,Belgium,3972963,0,31165,11655930,34085.34
2022-04-16,Maldives,178320,0,298,523787,34044.37
2022-04-16,United Kingdom,21916961,0,172014,67508936,32465.27
2022-04-16,South Korea,16305752,0,21092,51815810,31468.68
2022-04-16,Brunei,139847,0,217,449002,31146.19
2022-04-16,Greece,3232496,0,28537,10384971,31126.67
2022-04-16,Monaco,11341,0,56,36469,31097.64
2022-04-16,Ireland,1498834,0,6932,5023109,29838.77
2022-04-16,Germany,23416663,0,132942,83369843,28087.69
2022-04-16,Serbia,1995351,0,15923,7221365,27631.22
2022-04-16,Croatia,1113135,0,15725,4030358,27618.76
2022-04-16,Mongolia,920119,0,2177,3398366,27075.34
2022-04-16,Italy,15659835,0,161602,59037474,26525.25
2022-04-16,Uruguay,895592,0,7193,3422794,26165.52
2022-04-16,Norway,1419507,0,2783,5434319,26121.16
2022-04-16,Spain,11627487,0,103104,47558630,24448.74
2022-04-16,United States,80625120,0,988609,338289857,23833.15
2022-04-16,Sweden,2495996,0,18605,10549347,23660.19
2022-04-16,Palau,4190,0,6,18055,23206.87
2022-04-16,Barbados,64348,0,383,281635,22848.01
2022-04-16,Australia,5384615,0,6779,26177413,20569.7
2022-04-16,Lebanon,1095518,0,10358,5489739,19955.74
2022-04-16,Argentina,9060495,0,128344,45510318,19908.66
2022-04-16,Singapore,1157251,0,1313,5975689,19365.98
2022-04-16,Hungary,1879480,0,45865,9967308,18856.45
2022-04-16,Chile,3528626,0,57231,19603733,17999.77
2022-04-16,Turkey,14991669,0,98551,85341241,17566.73
2022-04-16,Panama,768470,0,8178,4408581,17431.23
2022-04-16,Finland,949583,0,3517,5540745,17138.18
2022-04-16,Bulgaria,1149225,0,36782,6781953,16945.34
2022-04-16,Mauritius,218229,0,990,1299469,16793.71
2022-04-16,Malta,88558,0,673,533286,16606.1
2022-04-16,Dominica,11988,0,63,72737,16481.3
2022-04-16,Costa Rica,844892,0,8357,5180829,16308.05
2022-04-16,New Zealand,828808,0,554,5185288,15983.84
2022-04-16,Moldova,516316,0,11481,3272996,15775.03
2022-04-16,Armenia,422747,0,8621,2780469,15204.16
2022-04-16,Jordan,1694957,0,14055,11285869,15018.4
2022-04-16,Poland,5984940,0,115838,39857145,15015.98
2022-04-16,Kuwait,630888,0,2555,4268873,14778.8
