month,total_deaths
2021-01-01,424508
2021-04-01,374907
2021-05-01,374137
2020-12-01,367037
2021-08-01,310869
2021-02-01,288309
2021-03-01,288012
2020-11-01,286336
2022-02-01,274302
2021-06-01,273375
2021-07-01,269509
2021-09-01,254741
2022-01-01,247065
2021-11-01,217453
2021-10-01,210276
2021-12-01,209253
2020-08-01,189536
2020-07-01,189199
2022-03-01,184501
2020-10-01,184128
2020-04-01,171317
2020-09-01,169890
2020-05-01,152881
2020-06-01,151525
2022-04-01,84286
2022-08-01,73595
2022-07-01,67832
2022-05-01,50838
2020-03-01,47601
2022-06-01,47131
2022-09-01,22702
2020-02-01,2678
2020-01-01,1482
